size subcadena;tiempo compresion LZ;tiempo descompresion LZ;porcentaje compresion LZ
5;1.26371;0.0152853;88.3392
10;3.48449;0.0142882;75.3341
15;6.394;0.0139817;73.0782
20;9.82442;0.0140302;72.2536
5;1.26504;0.0152396;88.3392
10;3.47546;0.0142031;75.3341
15;6.40659;0.0139992;73.0782
20;9.80516;0.0139484;72.2536
5;1.26757;0.0152619;88.3392
10;3.53968;0.0141908;75.3341
15;6.41137;0.0139976;73.0782
20;9.8193;0.0139475;72.2536
5;1.26535;0.0152536;88.3392
10;3.47311;0.0141957;75.3341
15;6.40817;0.0140192;73.0782
20;9.8112;0.0139456;72.2536
5;1.2662;0.0152569;88.3392
10;3.47493;0.014176;75.3341
15;6.41389;0.0138671;73.0782
20;9.81729;0.0139554;72.2536
5;1.26422;0.0152445;88.3392
10;3.47533;0.0142187;75.3341
15;6.41349;0.0140098;73.0782
20;9.83708;0.0139709;72.2536
5;1.26518;0.0161134;88.3392
10;3.49224;0.0141843;75.3341
15;6.40793;0.0139994;73.0782
20;9.85676;0.0139592;72.2536
5;1.26558;0.0152338;88.3392
10;3.4855;0.0142421;75.3341
15;6.40244;0.0139902;73.0782
20;9.83284;0.0139375;72.2536
5;1.27858;0.0152588;88.3392
10;3.49059;0.0142088;75.3341
15;6.41126;0.0139993;73.0782
20;9.83644;0.0139418;72.2536
5;1.26525;0.0152299;88.3392
10;3.47648;0.0141807;75.3341
15;6.41778;0.0140087;73.0782
20;9.83732;0.0141218;72.2536
5;1.26529;0.0152526;88.3392
10;3.47666;0.0142276;75.3341
15;6.41247;0.0139886;73.0782
20;9.84688;0.0139387;72.2536
5;1.27715;0.0152381;88.3392
10;3.49168;0.014195;75.3341
15;6.40847;0.0140156;73.0782
20;9.84798;0.0139335;72.2536
5;1.26493;0.0152331;88.3392
10;3.48135;0.0141971;75.3341
15;6.40211;0.0140012;73.0782
20;9.82178;0.0139555;72.2536
5;1.26592;0.0152436;88.3392
10;3.48167;0.014205;75.3341
15;6.4066;0.0139909;73.0782
20;9.8249;0.0139313;72.2536
5;1.26128;0.0152502;88.3392
10;3.5118;0.0142127;75.3341
15;6.39819;0.014019;73.0782
20;9.84147;0.0139328;72.2536
5;1.26963;0.0153241;88.3392
10;3.47456;0.0141913;75.3341
15;6.40722;0.0140073;73.0782
20;9.82119;0.0139597;72.2536
5;1.26428;0.0152579;88.3392
10;3.47962;0.0141835;75.3341
15;6.39996;0.013986;73.0782
20;9.83953;0.0141775;72.2536
5;1.26352;0.0131071;88.3392
10;3.47895;0.0141952;75.3341
15;6.40234;0.0139845;73.0782
20;9.82967;0.0139287;72.2536
5;1.26514;0.0152542;88.3392
10;3.48319;0.0141662;75.3341
15;6.40699;0.013987;73.0782
20;9.83578;0.0139455;72.2536
5;1.29328;0.015233;88.3392
10;3.48674;0.0142104;75.3341
15;6.42038;0.0139995;73.0782
20;9.8217;0.0139341;72.2536