size archivo;tiempo codificacion Huffman;tiempo compresion LZ;tiempo decodificacion Huffmann;tiempo decompresion LZ
2344;0.00236272;0.0469074;0.000691521;0.000328562
208571;0.115691;3.48441;0.0561262;0.0138578
1.43325e+06;0.810571;22.7186;0.398232;0.0904301
7243;0.00548545;0.147681;0.00207991;0.000756985
21;0.000316266;0.00054754;0.000100139;8.245e-05
2344;0.00208195;0.0456415;0.000692886;0.000326073
208571;0.115809;3.487;0.0556228;0.013939
1.43325e+06;0.807766;22.7455;0.399538;0.0900661
7243;0.00564337;0.148386;0.00207118;0.000763547
21;0.000282501;0.000546946;0.000101116;8.2246e-05
2344;0.00220249;0.0456653;0.000687423;0.000325607
208571;0.115756;3.4954;0.0560571;0.0139446
1.43325e+06;0.809054;22.6768;0.399471;0.0904063
7243;0.00577254;0.148271;0.00208342;0.00076154
21;0.000498391;0.000570672;0.000119029;0.000121871
2344;0.00217688;0.0461115;0.000683386;0.000322595
208571;0.115532;3.49131;0.0557632;0.0132866
1.43325e+06;0.80819;22.7066;0.398682;0.0902863
7243;0.00577823;0.149241;0.00207127;0.000767655
21;0.000394454;0.000578234;0.000118293;0.000106245
2344;0.00176677;0.0450381;0.000691924;0.000324176
208571;0.115641;3.48351;0.0557927;0.0140696
1.43325e+06;0.803502;22.7199;0.397634;0.0901221
7243;0.00593968;0.148483;0.00206773;0.000763719
21;0.000476061;0.000617775;0.000119472;0.000113004
2344;0.00226946;0.0472416;0.0006832;0.000323836
208571;0.115754;3.47891;0.0559864;0.013915
1.43325e+06;0.808876;22.7215;0.397763;0.0903017
7243;0.0058981;0.148074;0.00209254;0.00075596
21;0.000481363;0.000580905;0.000123134;0.000107387
2344;0.00176586;0.0449676;0.000685881;0.000324837
208571;0.115619;3.48555;0.0563479;0.0138654
1.43325e+06;0.807652;22.7655;0.398036;0.0906861
7243;0.00596606;0.148251;0.00207911;0.000762549
21;0.000457539;0.00057724;0.000118075;0.000106947
2344;0.0022945;0.0470923;0.000691171;0.000326435
208571;0.115644;3.51654;0.0565405;0.0139133
1.43325e+06;0.807025;22.7558;0.399455;0.090397
7243;0.00568398;0.149474;0.00206871;0.000768321
21;0.000486018;0.000590562;0.000118956;0.000107445
2344;0.002301;0.0473109;0.000676512;0.000304905
208571;0.115324;3.48013;0.0558314;0.0139427
1.43325e+06;0.80833;22.7509;0.400535;0.0904172
7243;0.00549623;0.14799;0.00207439;0.000772656
21;0.000484106;0.000582895;0.000111407;0.000108485
2344;0.00220008;0.0462826;0.000681263;0.000327111
208571;0.11569;3.48217;0.056435;0.0140443
1.43325e+06;0.809033;22.7565;0.4005;0.090613
7243;0.00580513;0.148204;0.00207267;0.000764519
21;0.000486107;0.000606356;0.000118451;0.000100683
2344;0.0022487;0.0474037;0.000697161;0.000328152
208571;0.11576;3.49701;0.0563003;0.0138994
1.43325e+06;0.807932;22.634;0.399072;0.090609
7243;0.00584556;0.148279;0.00206739;0.000753545
21;0.000580778;0.000577063;0.000119145;0.000100524
2344;0.00218542;0.0456444;0.000687547;0.000324844
208571;0.115548;3.50086;0.0558522;0.0138611
1.43325e+06;0.809287;22.7008;0.398558;0.0902174
7243;0.00574002;0.148716;0.00208841;0.000761199
21;0.000468268;0.000593381;0.000120092;0.000101308
2344;0.00176316;0.0451069;0.00068569;0.000327314
208571;0.115521;3.48604;0.0559482;0.0139257
1.43325e+06;0.808356;22.756;0.399328;0.0900714
7243;0.00579897;0.148407;0.002082;0.000753698
21;0.000476397;0.000594676;0.000111276;0.000103656
2344;0.00180783;0.0451873;0.000691555;0.00032439
208571;0.115615;3.48363;0.0560482;0.0139255
1.43325e+06;0.807027;22.7533;0.39894;0.0904169
7243;0.00580725;0.148265;0.00208604;0.000756085
21;0.000484955;0.000568191;0.000118778;0.000101953
2344;0.00181079;0.0448429;0.000685626;0.000329516
208571;0.115668;3.48427;0.0566101;0.0139003
1.43325e+06;0.808089;22.7276;0.398052;0.0902741
7243;0.00580295;0.148128;0.0021029;0.000757362
21;0.000445756;0.000582249;0.000125039;0.000109021
2344;0.00181122;0.0448993;0.00067939;0.000325714
208571;0.115717;3.48193;0.0559202;0.0138986
1.43325e+06;0.808296;22.7149;0.397884;0.0905783
7243;0.00567211;0.148492;0.00209301;0.00075439
21;0.000483379;0.000601892;0.000113979;0.000100264
2344;0.00232395;0.0473198;0.000681762;0.000327888
208571;0.115681;3.48525;0.0562728;0.0138956
1.43325e+06;0.808814;22.7326;0.399865;0.090292
7243;0.00604628;0.14877;0.00208017;0.000762963
21;0.000450725;0.000578634;0.000120142;0.000101168
2344;0.00221665;0.0459068;0.000683404;0.000329009
208571;0.115645;3.48293;0.0557187;0.0139334
1.43325e+06;0.810656;22.8063;0.403912;0.0906056
7243;0.00588407;0.149246;0.00207454;0.000770913
21;0.000301295;0.000548343;0.000100113;7.6635e-05
2344;0.0020773;0.0454764;0.000691768;0.000327571
208571;0.115675;3.48416;0.0558139;0.0138622
1.43325e+06;0.808446;23.0312;0.403971;0.0905885
7243;0.00606703;0.147934;0.00207075;0.000751104
21;0.000483168;0.000588139;0.000118355;0.000100662
2344;0.00218435;0.0467963;0.000680662;0.000330313
208571;0.115697;3.47888;0.0560447;0.0141902
1.43325e+06;0.810271;22.7609;0.398372;0.0904364
7243;0.00501714;0.148039;0.00209316;0.000754567
21;0.000477377;0.000598125;0.000123036;0.000101979