size archivo;tiempo codificacion Huffman;tiempo compresion LZ;tiempo decodificacion Huffmann;tiempo decompresion LZ
2344;0.00109852;0.0207727;0.00021029;6.8307e-05
208571;0.0202584;0.956576;0.0152314;0.00152323
1.43325e+06;0.143571;6.32859;0.118982;0.01105
7243;0.000951231;0.0435328;0.000655704;0.000207498
21;6.1995e-05;0.000148858;2.3741e-05;1.3717e-05
2344;0.000315532;0.0132888;0.000197276;5.1739e-05
208571;0.0203051;0.959336;0.0163395;0.00164133
1.43325e+06;0.146526;6.38891;0.121401;0.0111528
7243;0.000967554;0.0442338;0.000637116;0.000203845
21;0.00013351;0.00013289;2.1589e-05;1.3528e-05
2344;0.000333512;0.0132296;0.000186662;6.3424e-05
208571;0.0224231;0.988903;0.0157389;0.00176545
1.43325e+06;0.150773;6.4223;0.122442;0.0110473
7243;0.000918361;0.0436906;0.00066377;0.000222127
21;9.042e-05;0.000148267;2.1698e-05;1.4532e-05
2344;0.000332527;0.013043;0.000207575;3.9591e-05
208571;0.0217231;1.0299;0.0173312;0.00178065
1.43325e+06;0.153033;6.66838;0.124302;0.0112025
7243;0.000968331;0.0438807;0.000675346;0.00020715
21;6.9975e-05;0.000155499;2.1933e-05;1.341e-05
2344;0.00031873;0.0132543;0.000200825;3.9497e-05
208571;0.022229;1.03968;0.0179183;0.00184558
1.43325e+06;0.157094;6.83788;0.125338;0.0113712
7243;0.000914443;0.0437434;0.00062667;0.000200967
21;0.000150277;0.000184441;2.2345e-05;1.3837e-05
2344;0.000331402;0.013129;0.000229067;6.5554e-05
208571;0.0222432;1.03649;0.0184409;0.00173018
1.43325e+06;0.15923;6.85243;0.129973;0.0114951
7243;0.000975679;0.0456834;0.000766805;0.000211819
21;0.000118158;0.000128498;1.9493e-05;1.4067e-05
2344;0.000338618;0.0132773;0.00020304;6.4621e-05
208571;0.0232111;1.05319;0.0181833;0.00183983
1.43325e+06;0.158533;6.83033;0.128141;0.0117901
7243;0.000963936;0.0442655;0.000687902;0.000204621
21;9.2238e-05;0.000158406;2.0875e-05;1.5225e-05
2344;0.000381483;0.0137143;0.000195259;4.9113e-05
208571;0.0229961;1.03931;0.0179868;0.00182527
1.43325e+06;0.161147;6.89635;0.130426;0.0120673
7243;0.00101525;0.0442107;0.000759512;0.000199963
21;8.8901e-05;0.00017749;1.9883e-05;2.6217e-05
2344;0.000346297;0.0134828;0.000277667;4.5528e-05
208571;0.0224219;1.05251;0.018216;0.0018854
1.43325e+06;0.163091;6.85213;0.131299;0.0119214
7243;0.00100765;0.0441192;0.000771377;0.000208052
21;7.4704e-05;0.000157773;1.9826e-05;1.4229e-05
2344;0.000356853;0.0133025;0.000224646;4.5339e-05
208571;0.0230713;1.04406;0.0184741;0.00177723
1.43325e+06;0.164192;6.85869;0.132901;0.0119897
7243;0.00105153;0.0445719;0.000659505;0.000206198
21;0.000124442;0.000184222;2.0003e-05;2.8379e-05
2344;0.000345692;0.0137529;0.000222367;3.9521e-05
208571;0.0228513;1.04886;0.0183476;0.00188905
1.43325e+06;0.163997;6.90265;0.134096;0.012311
7243;0.00101737;0.0444189;0.000799721;0.000202884
21;6.323e-05;0.000176591;2.3936e-05;2.5655e-05
2344;0.000353979;0.0136553;0.000192149;3.9457e-05
208571;0.0227767;1.05264;0.0182938;0.00190851
1.43325e+06;0.160013;6.90272;0.130051;0.0117783
7243;0.000984363;0.0449181;0.000642442;0.000208483
21;0.000128839;0.00014628;3.0423e-05;1.7216e-05
2344;0.000328438;0.0130868;0.000196338;3.8239e-05
208571;0.0230415;1.05587;0.0181983;0.00189766
1.43325e+06;0.158371;6.85361;0.128621;0.0118841
7243;0.000995319;0.0450244;0.000700953;0.00019568
21;0.00011781;0.000133819;2.0857e-05;1.5152e-05
2344;0.000329842;0.0140525;0.00020211;4.2299e-05
208571;0.0228497;1.05126;0.0177853;0.00190812
1.43325e+06;0.166336;6.96062;0.135321;0.0124242
7243;0.00103511;0.0437001;0.000709601;0.000272134
21;6.5681e-05;0.000178344;1.9437e-05;2.813e-05
2344;0.000354169;0.0131622;0.000202893;4.316e-05
208571;0.0234529;1.06822;0.0187722;0.00189791
1.43325e+06;0.159193;6.86255;0.129405;0.0119929
7243;0.00102501;0.0451857;0.00070626;0.000197403
21;8.5443e-05;0.000170044;2.1382e-05;1.4966e-05
2344;0.000321866;0.0136575;0.000217947;4.5934e-05
208571;0.0223004;1.04526;0.0181821;0.00181489
1.43325e+06;0.16826;6.98943;0.135267;0.01226
7243;0.00111805;0.0434441;0.000701396;0.000193229
21;8.5654e-05;0.000152885;2.1491e-05;1.481e-05
2344;0.000322126;0.0135099;0.000205044;4.3515e-05
208571;0.0227968;1.05297;0.0194464;0.00191294
1.43325e+06;0.160857;6.84885;0.129468;0.0115246
7243;0.00100607;0.045538;0.000720933;0.000195778
21;0.000119268;0.000139087;2.0849e-05;1.4242e-05
2344;0.00033966;0.0131845;0.000195587;6.632e-05
208571;0.0229628;1.0441;0.0202312;0.00177492
1.43325e+06;0.169324;7.06777;0.136234;0.0122695
7243;0.00100339;0.0438203;0.000728571;0.000229171
21;0.000113322;0.000163798;2.2965e-05;2.8412e-05
2344;0.000357502;0.0133722;0.000198343;4.6486e-05
208571;0.0227596;1.05642;0.017926;0.00181461
1.43325e+06;0.168636;7.08595;0.136489;0.0123591
7243;0.00104402;0.0455956;0.000727952;0.000220748
21;9.1647e-05;0.000140901;2.1213e-05;1.4518e-05
2344;0.000381444;0.0136289;0.000225161;5.3525e-05
208571;0.022824;1.06141;0.0180221;0.00195153
1.43325e+06;0.169079;7.01662;0.135858;0.0121705
7243;0.00104164;0.0442494;0.000648032;0.00020811
21;0.000112979;0.000188148;2.2894e-05;2.6211e-05
